35,asambleista,curul,total ausente,voto
,ABAD VELEZ RAUL,1.0,,AUSENTE
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,AUSENTE
,MUÑOZ VICUÑA MARIANGEL,8.0,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,13.0,,AUSENTE
,MORENO INTRIAGO MARIA LUISA,14.0,,AUSENTE
,QUIMBIULCO BEDON LORENA GABRIELA,18.0,,AUSENTE
,BRAVO RAMIREZ MARIA LORENA,23.0,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,AUSENTE
,FALCONI LOQUI EVELYN PAMELA,34.0,,AUSENTE
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,AUSENTE
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48.0,,AUSENTE
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,AUSENTE
,REYES MACHUCA EFREN RODRIGO,52.0,,AUSENTE
,JAIGUA ALVARADO CELIA MARIA,53.0,,AUSENTE
,GOMEZ IRMA,63.0,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,AUSENTE
,BUSTOS CHILIQUINGA ARCADIO,80.0,,AUSENTE
,MATIAS APOLINARIO RITA AZUCENA,81.0,,AUSENTE
,DIAZ COKA MARIA GABRIELA,88.0,,AUSENTE
,QUEZADA CARRION ANDREA MARIBEL,90.0,,AUSENTE
,IÑIGUEZ APOLO LENIN MAURICIO,95.0,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,AUSENTE
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,AUSENTE
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,AUSENTE
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128.0,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129.0,,AUSENTE
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,AUSENTE
,TACLE GALARRAGA MOISES FERNANDO,133.0,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,134.0,,AUSENTE
,MORALES POZO LENIN ALBERTO,2.0,,SI
,AGUILAR PLACIDO ARMANDO,3.0,,SI
,HAGO CELI FRANCISCO WAIKING,4.0,,SI
,AGUIRRE HIDALGO DORA ANADELA,5.0,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,SI
,ANDINO REINOSO MAURO EDMUNDO,9.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,SI
,CALLE ANDRADE MARIA AUGUSTA,19.0,,SI
,CARRILLO BETTY,20.0,,SI
,ANRRANGO ZAMBRANO GERARDO ELIAS,21.0,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,SI
,CHICA AREVALO VINICIO VETHOWEN,27.0,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,SI
,CUESTA RIOS LIUBA ELISA,29.0,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,SI
,PALACIOS CESAR,33.0,,SI
,MENDOZA DANIEL ISAAC,37.0,,SI
,GRANDA NIXON ARLIG,40.0,,SI
,BOMBON LOPEZ BLANCA CECILIA,42.0,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44.0,,SI
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,SI
,JEREZ PILLA BETTY MARICELA,49.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,SI
,MORENO CHIRIBOGA AMPARO DIANA,56.0,,SI
