70,asambleista,curul,total no,voto
,ORTIZ LARA LEONARDO,5.0,,AUSENTE
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,AUSENTE
,MUÑOZ VICUÑA MARIANGEL,8.0,,AUSENTE
,MONGE ESPINEL LUIS HUMBERTO,10.0,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,14.0,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,AUSENTE
,CASANOVA CEPEDA XAVIER IVAN,19.0,,AUSENTE
,CARRION MARIA JOSE,21.0,,AUSENTE
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,AUSENTE
,DELGADO CHALA AGUSTIN JAVIER,32.0,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,AUSENTE
,FALCONI LOQUI EVELYN PAMELA,34.0,,AUSENTE
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,AUSENTE
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,AUSENTE
,RODAS MARCA CARLOS EDUARDO,45.0,,AUSENTE
,CRUZ SALAZAR FRANCISCA GABRIELA,48.0,,AUSENTE
,BUENDIA HERDOIZA MARIA SOLEDAD,52.0,,AUSENTE
,QUIROZ VALLEJO HECTOR HUGO,56.0,,AUSENTE
,PABON CARANQUI PAOLA VERENICE,61.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,AUSENTE
,VACA COJITAMBO ELENA ANA DEL ROCIO,84.0,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,AUSENTE
,GUTIERREZ BORBUA FAUSTO GILMAR,100.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,103.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,AUSENTE
,PAEZ BENALCAZAR ANDRES TARQUINO,117.0,,AUSENTE
,CHICA ARTEAGA GUNTARD PAVEL,119.0,,AUSENTE
,TORRES TORRES LUIS FERNANDO,120.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,AUSENTE
,MARIN AVILA MAYTE SORAYA,125.0,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128.0,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131.0,,AUSENTE
,SERRANO VALLADARES SAADIN ALFREDO,136.0,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,AUSENTE
,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35.0,,SI
,AGUILAR TORRES MANUEL RAMIRO,74.0,,SI
,BUSTOS CHILIQUINGA ARCADIO,80.0,,SI
,YANDUN POZO CASTULO RENE,82.0,,SI
,CARDENAS SAQUICELA ULBIO EFREN,83.0,,SI
,FIERRO OVIEDO PACO,89.0,,SI
,GUALAN JAPA MILTON RODRIGO,90.0,,SI
,UMAJINGA GUAMAN CESAR,92.0,,SI
,TIBAN GUALA LOURDES LICENIA,93.0,,SI
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,SI
,CHICAIZA TOAPANTA WILSON ALFONSO,102.0,,SI
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,SI
,MOREIRA MACIAS GRACE HOLANDA,105.0,,SI
,VILEMA FREIRE ANGEL RAMIRO,112.0,,SI
,POSSO SALGADO LUIS ANTONIO,113.0,,SI
,MONTAÑO VALENCIA MAE,115.0,,SI
,MORETA PANCHEZ MIGUEL ANGEL,116.0,,SI
,SALGADO RIVADENEIRA DIEGO,118.0,,SI
,URIBE LOPEZ FANNY ESTHER,129.0,,SI
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,SI
,REYES HIDALGO CRISTINA EUGENIA,132.0,,SI
,TACLE GALARRAGA MOISES FERNANDO,133.0,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,134.0,,SI
,TERAN SALCEDO RAMON FORTUNATO,135.0,,SI
,ABAD VELEZ RAUL,1.0,,NO
,MORALES POZO LENIN ALBERTO,2.0,,NO
,AGUILAR PLACIDO ARMANDO,3.0,,NO
,MACHUCA MOSCOSO LINDA MARICELA,4.0,,NO
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,NO
,ANDINO REINOSO MAURO EDMUNDO,9.0,,NO
,ARREGUI RUEDA MARCIA CECILIA,12.0,,NO
,BENAVIDES ZAMBRANO ZOILA TERESA,13.0,,NO
,BORJA PEREZ GALO,15.0,,NO
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,NO
,CALDERON SALTOS RICHARD OSWALDO,18.0,,NO
,CARRILLO BETTY,20.0,,NO
