35,asambleista,curul,total ausente,voto
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,AUSENTE
,SERRANO SALGADO JOSÉ RICARDO,3.0,,AUSENTE
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,6.0,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,25.0,,AUSENTE
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,AUSENTE
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,AUSENTE
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,AUSENTE
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,AUSENTE
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,AUSENTE
,MOLINA ONOFA LUIS FERNANDO,60.0,,AUSENTE
,VERA FLORES WENDY VANESSA,64.0,,AUSENTE
,VITERI GUALINGA CARLOS ELOY,67.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,AUQUILLA ORTEGA RAÚL VICENTE,73.0,,AUSENTE
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,AUSENTE
,KRONFLE KOZHAYA HENRY FABIÁN,88.0,,AUSENTE
,CASTANIER JARAMILLO XAVIER HOMERO,89.0,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101.0,,AUSENTE
,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,AUSENTE
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105.0,,AUSENTE
,ZAMBRANO VERA MARIANO,106.0,,AUSENTE
