35,asambleista,curul,total ausente,voto
,MORALES POZO LENIN ALBERTO,2.0,,AUSENTE
,HAGO CELI FRANCISCO WAIKING,4.0,,AUSENTE
,TORRES CEDEÑO KERLLY ANABEL,7.0,,AUSENTE
,RIVAS ALAVA ELIANA LISSET,11.0,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,12.0,,AUSENTE
,CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29.0,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,AUSENTE
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,AUSENTE
,GUDIÑO MENA ZOBEIDA GUISELA,43.0,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48.0,,AUSENTE
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,68.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79.0,,AUSENTE
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,,AUSENTE
,SERRANO REYES NELSON ALCIDES,86.0,,AUSENTE
,DAHIK ASTUDILLO REYTA GIOMAR,87.0,,AUSENTE
,JIMENEZ CABRERA JOSE CLEVER,90.0,,AUSENTE
,UMAGINGA GUAMAN CESAR,92.0,,AUSENTE
,VELA CAIZAPANTA ANGEL RAMIRO,98.0,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,AUSENTE
,BUCARAM PULLEY ABDALA JAIME,105.0,,AUSENTE
,ARGUELLO TROYA BLANCA AZUCENA,107.0,,AUSENTE
,VELASCO ENRIQUEZ CARLOS ALBERTO,108.0,,AUSENTE
,VELEZ MARLENE MARGARITA,109.0,,AUSENTE
,VERDUGA CEDEÑO MARY,110.0,,AUSENTE
,VILEMA FREIRE ANGEL RAMIRO,112.0,,AUSENTE
,SALGADO RIVADENEIRA DIEGO,118.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129.0,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131.0,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,132.0,,AUSENTE
,AGUILAR TORRES MANUEL RAMIRO,74.0,,SI
,BUSTOS CHILIQUINGA ARCADIO,80.0,,SI
,VILLAO PANCHANA RAUL ELIAS,81.0,,SI
,YANDUN POZO CASTULO RENE,82.0,,SI
,ACACHO GONZALEZ PEPE LUIS,83.0,,SI
,FIERRO OVIEDO PACO,89.0,,SI
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,SI
,TIBAN GUALA LOURDES LICENIA,93.0,,SI
,GUTIERREZ BORBUA FAUSTO GILMAR,100.0,,SI
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,SI
,CHICAIZA TOAPANTA WILSON ALFONSO,102.0,,SI
,DONOSO CHIRIBOGA PATRICIO,103.0,,SI
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,SI
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,SI
,MONTAÑO VALENCIA MAE,115.0,,SI
,MORETA PANCHEZ MIGUEL ANGEL,116.0,,SI
,PAEZ BENALCAZAR ANDRES TARQUINO,117.0,,SI
,PUYOL CORTEZ JORGE LUIS,119.0,,SI
,TORRES TORRES LUIS FERNANDO,120.0,,SI
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,SI
,TACLE GALARRAGA MOISES FERNANDO,133.0,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,134.0,,SI
,TERAN SALCEDO RAMON FORTUNATO,135.0,,SI
,VITERI JIMENEZ CYNTHIA,136.0,,SI
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,SI
,ABAD VELEZ RAUL,1.0,,NO
,AGUILAR PLACIDO ARMANDO,3.0,,NO
,ORTIZ LARA LEONARDO,5.0,,NO
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,NO
,ORDOÑEZ ALMEIDA FAUSTO EFRAIN,8.0,,NO
,ANDINO REINOSO MAURO EDMUNDO,9.0,,NO
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,NO
,MARQUEZ LOPEZ JOSE LENIN,13.0,,NO
,BERGMANN REYNA CARLOS ALBERTO,14.0,,NO
,BORJA PEREZ GALO,15.0,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,NO
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,NO
,CALDERON SALTOS RICHARD OSWALDO,18.0,,NO
,CASANOVA CEPEDA XAVIER IVAN,19.0,,NO
,TOALOMBO CHIMBORAZO JOSE SEGUNDO,20.0,,NO
,ANRRANGO ZAMBRANO GERARDO ELIAS,21.0,,NO
,CASSINELLI CALI JUAN CARLOS,23.0,,NO
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,NO
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,NO
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,NO
,CHICA AREVALO VINICIO VETHOWEN,27.0,,NO
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,NO
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,NO
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,NO
,DELGADO CHALA AGUSTIN JAVIER,32.0,,NO
,FALCONI LOQUI EVELYN PAMELA,34.0,,NO
,GAGLIARDO LOOR GASTON,35.0,,NO
,GALVAN GRACIA MARIA ESPERANZA,36.0,,NO
,LARREA VITERI LIDICE VANESSA,37.0,,NO
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,NO
,SANCHEZ PERALTA EDUARDO JOSE,39.0,,NO
,GRANDA NIXON ARLIG,40.0,,NO
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,NO
,GUEVARA VILLACRES VERONICA MARGARITA,44.0,,NO
,GUZMAN OCHOA LILIANA MAURA,45.0,,NO
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,NO
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,NO
,CARRILLO CRESPO HUGO FERNANDO,49.0,,NO
,SILVA MALDONADO SOFIA IRENE,50.0,,NO
,BUENDIA HERDOIZA MARIA SOLEDAD,52.0,,NO
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,NO
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,NO
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,NO
,MELO GARZON ESTEBAN ANDRES,56.0,,NO
,TOBAR NUÑEZ RAUL IGNACIO,57.0,,NO
,MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,,NO
,ALVARADO CARRION ROSANA,59.0,,NO
,OCLES PADILLA ALEXANDRA,60.0,,NO
,CAZA TIPANTA HUGO RENE,61.0,,NO
,PADRON SAETEROS GLADYS PAULINA,62.0,,NO
,BRITO MENDOZA MONICA CRISTINA,63.0,,NO
,PEÑA CARRASCO DIANA LUCIA,64.0,,NO
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,NO
,QUINCHIGUANGO GISELA,66.0,,NO
,PONCE LEON XIMENA MERCEDES,67.0,,NO
,FARES GUAILLAS MARIA SEBASTIANA,69.0,,NO
,RIVERA LOPEZ JOSE GABRIEL,70.0,,NO
,RIVERO DOGUER ANGEL ARMANDO,71.0,,NO
,VELASTEGUI RAMOS LEONARDO DARIO,73.0,,NO
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,NO
,SALAZAR CEDEÑO GUADALUPE DOLORES,78.0,,NO
,MOYA DUQUE HERMAN ANIBAL,85.0,,NO
,DIAZ COKA MARIA GABRIELA,88.0,,NO
,TERAN SARZOSA SEGUNDO FAUSTO,94.0,,NO
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,NO
,VALLE PINARGOTE BAIRON LEONARDO,96.0,,NO
,VASCONEZ ARTEAGA ANNY MARLLELY,97.0,,NO
,VELA CHERONI MARIA SOLEDAD,106.0,,NO
,VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,,NO
,POSSO SALGADO LUIS ANTONIO,113.0,,NO
,ALEJANDRO MEDINA CRISTINA SORAYA,121.0,,NO
,VINTIMILLA JARRIN DIEGO ARMANDO,122.0,,NO
,VITERI GUALINGA CARLOS ELOY,123.0,,NO
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125.0,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,,NO
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127.0,,NO
,SERRANO SEGURA GRACE MARISOL,128.0,,NO
