104,asambleista,curul,total si,voto
,SERRANO SALGADO JOSÉ RICARDO,3.0,,AUSENTE
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,AUSENTE
,CASANOVA CEPEDA XAVIER IVAN,11.0,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14.0,,AUSENTE
,TERÁN SARZOSA SEGUNDO FAUSTO,19.0,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20.0,,AUSENTE
,DOUMET CHEDRAUI MICHEL ANDRÉS,27.0,,AUSENTE
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,AUSENTE
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,AUSENTE
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,AUSENTE
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,AUSENTE
,COLAMARCO VERA PINUCCIA MAGALY,42.0,,AUSENTE
,QUIJIJE DELGADO LUIS RAFAEL,52.0,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,AUSENTE
,MONCAYO ESPINOSA JOSÉ FRANCISCO,57.0,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59.0,,AUSENTE
,VERA FLORES WENDY VANESSA,64.0,,AUSENTE
,CHACTONG VELASCO MARTHA XIMENA,67.0,,AUSENTE
,ZAMBRANO CASTRO NORALMA ELIZABETH,76.0,,AUSENTE
,GUEVARA LOZADA FLERIDA YOVANA,77.0,,AUSENTE
,SERRANO VITERI MERCEDES MARITZA,79.0,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101.0,,AUSENTE
,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,AUSENTE
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,AUSENTE
,CAMPOS QUIÑONEZ LIDDA MERARI,107.0,,AUSENTE
,TERÁN SALCEDO RAMÓN FORTUNATO,112.0,,AUSENTE
,SALTOS MOREIRA DIANA GABRIELA,115.0,,AUSENTE
,VERA CALDERÓN SILVIA LORENA,116.0,,AUSENTE
