asambleista,curul,voto
AGUIÑAGA VALLEJO PAOLA MARCELA,1,AUSENTE
ARTEAGA MUÑOZ KARINA CECILIA,7,AUSENTE
CALLE VERZOZI HERMUY,15,AUSENTE
CÁRDENAS ESPINOZA JUAN JORGE,17,AUSENTE
CHALÁ CRUZ JOSÉ FRANKLIN,22,AUSENTE
CUESTA RÍOS LIUBA ELISA,25,AUSENTE
CUESTA SANTANA ESTHER ADELINA,26,AUSENTE
DURÁN AGUILAR LILIANA ELIZABETH,28,AUSENTE
ALEAGA SANTOS RONNY XAVIER,29,AUSENTE
ESPINOSA ANDRADE AUGUSTO XAVIER,30,AUSENTE
GARCÍA GAIBOR CARMEN MERCEDES,32,AUSENTE
GARCÍA POZO DIEGO OSWALDO,33,AUSENTE
GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,AUSENTE
HOLGUÍN NARANJO MARCELA PRISCILA,37,AUSENTE
LLORET VALDIVIESO JUAN CRISTÓBAL,39,AUSENTE
MELO GARZÓN ESTEBAN ANDRÉS,41,AUSENTE
MUÑOZ LÓPEZ CHRISTIAN PABEL,43,AUSENTE
NARANJO ALVARADO PRISCILA AMAPOLA,44,AUSENTE
BUSTAMANTE GARCÍA JUAN FRANCISCO,47,AUSENTE
ANDRADE VILLAPRADO NELLY LISSETH,50,AUSENTE
PROAÑO CIFUENTES ROBERTH MAURICIO,51,AUSENTE
QUIJIJE DELGADO LUIS RAFAEL,52,AUSENTE
QUIÑONEZ OCAMPO JULIO CÉSAR,53,AUSENTE
AGUALSACA GUAMAN JOSE CLEMENTE,54,AUSENTE
RIVADENEIRA BUSTOS CARMEN MERCEDES,55,AUSENTE
SALAZAR CEDEÑO GUADALUPE DOLORES,56,AUSENTE
SAMANIEGO MAIGUA FRANKLIN OMAR,58,AUSENTE
YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,AUSENTE
ALEMÁN MARMOL MÓNICA ROCÍO,60,AUSENTE
SOLIZ CARRIÓN DORIS JOSEFINA,61,AUSENTE
VALLE PINARGOTE BAIRON LEONARDO,62,AUSENTE
VERA FLORES WENDY VANESSA,64,AUSENTE
VILLALVA MIRANDA LIRA DE LA PAZ,66,AUSENTE
GUAMBA DÍAZ NANCY JEANNETH,69,AUSENTE
LOOR ALCÍVAR LEXI LIDUVINA,70,AUSENTE
CRUZ VACA JEANNINE DEL CISNE,92,AUSENTE
CUESTA ORELLANA MARÍA DE LOURDES,93,AUSENTE
ZAMBRANO VALLE EDUARDO MAURICIO,94,AUSENTE
CURICHUMBI YUPANQUI PEDRO,100,AUSENTE
VERDEZOTO REINOSO ROSA ISABEL,103,AUSENTE
GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,AUSENTE
ZAMBRANO VERA MARIANO,106,AUSENTE
LARREÁTEGUI FABARA MARÍA GABRIELA,114,AUSENTE
SALTOS MOREIRA DIANA GABRIELA,115,AUSENTE
VERA CALDERÓN SILVIA LORENA,116,AUSENTE
MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,AUSENTE
PALACIOS MUÑOZ JUAN SEBASTIÁN,130,AUSENTE
PAREDES TORRES WASHINGTON ARTURO,131,AUSENTE
VILLAMAR JÁCOME PEDRO FABRICIO,136,AUSENTE
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,NO
CEVALLOS GUEVARA LESLIE MARCELA,3,NO
ARIAS RAMÍREZ ALBERTO JESÚS,5,NO
ARREGUI RUEDA MARCIA CECILIA,6,NO
BENAVIDES ZAMBRANO ZOILA TERESA,8,NO
COLLAGUAZO RODRIGO,10,NO
CASANOVA CEPEDA XAVIER IVAN,11,NO
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,NO
SERRANO VALLEJO JORGE ERNESTO,13,NO
CADENA VÉLEZ KARLA GABRIELA,14,NO
CAMBALA MONTECE CARLOS ALBERTO,16,NO
EGAS LEDESMA JOSÉ ANTONIO,18,NO
TERÁN SARZOSA SEGUNDO FAUSTO,19,NO
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,NO
GREFA AVILEZ FLAVIO PATRICIO,21,NO
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,NO
COROZO AYOVÍ JORGE WILBER,24,NO
DOUMET CHEDRAUI MICHEL ANDRÉS,27,NO
FLOR GIL BRENDA AZUCENA,31,NO
GARZÓN RICAURTE WILLIAM ANTONIO,34,NO
GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,NO
LITARDO CAICEDO CÉSAR ERNESTO,38,NO
MARÍN AGUIRRE ANA BELÉN,40,NO
MENDOZA ARÉVALO DANIEL ISAAC,42,NO
OCHOA MORANTE MANUEL ALFREDO,45,NO
ORELLANA ROMÁN ROSA GINA,46,NO
PEÑA PACHECO XIMENA DEL ROCÍO,48,NO
PLAZA CASTILLO LENIN,49,NO
SALGADO ANDRADE SILVIA BETZABETH,57,NO
VELIN CORTÉS JUAN PABLO,63,NO
VERA RODRÍGUEZ CARLOS ALFREDO,65,NO
CHACTONG VELASCO MARTHA XIMENA,67,NO
YAR ARAUJO JUAN CARLOS,68,NO
ANDRADE MUÑOZ WILMA PIEDAD,71,NO
ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,NO
AUQUILLA ORTEGA RAÚL VICENTE,73,NO
ASTUDILLO LOOR LINA GLORIA,74,NO
BURBANO MONTENEGRO FÉLIX FERNANDO,75,NO
ZAMBRANO CASTRO NORALMA ELIZABETH,76,NO
GUEVARA LOZADA FLERIDA YOVANA,77,NO
CUCALÓN CAMACHO HENRY EDUARDO,78,NO
SERRANO VITERI MERCEDES MARITZA,79,NO
CALLEJAS BARONA FERNANDO,80,NO
CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,NO
CAMPOVERDE ROBLES EMILIO ABSALÓN,82,NO
CARRIÓN MORENO CÉSAR ATAULFO,83,NO
ZAMBRANO CHACHA ALBERTO ALEXANDER,84,NO
SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,NO
YANDÚN POZO CÁSTULO RENÉ,86,NO
HENRÍQUEZ JAIME PATRICIA IVONNE,87,NO
LLANES SUAREZ HENRY MANUEL,88,NO
CASTANIER JARAMILLO XAVIER HOMERO,89,NO
CELI SANTOS GUILLERMO ALEJANDRO,90,NO
CRUZ PROAÑO LUDOVICO ISRAEL,91,NO
CADENA HUERTAS FRANCISCO JAVIER,95,NO
PEÑA ONTANEDA ELIO GERMÁN,96,NO
CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,NO
CALDERÓN CHANCAY DORIS DAISY,98,NO
REYES HIDALGO CRISTINA EUGENIA,99,NO
DONOSO CHIRIBOGA PATRICIO,101,NO
FLORES VÁSQUEZ FERNANDO PATRICIO,102,NO
GENDE CALAZACÓN ANGEL MESÍAS,104,NO
CANDELL SOTO JAIME ENRIQUE JIMMY,107,NO
CASTRO MAYANCELA MANUEL MARÍA,108,NO
OLIVO PALLO JAIME FERNANDO,109,NO
ROHON HERVAS CÉSAR EDUARDO,110,NO
POVEDA ALVARADO ERIKA SOPHIA,111,NO
NUÑEZ MANSSUR LUIS ANTONIO,112,NO
BONILLA LÓPEZ SEGUNDO FELIPE,113,NO
MORENO GUERRERO HENRY FREDY,118,NO
PACHALA POMA LUIS ALBERTO,120,NO
TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,NO
CUESTA CONCARI MARÍA MERCEDES,122,NO
PEÑAFIEL IZQUIERDO EDDY COLÓN,123,NO
PUANCHIR PAYASHÑA TITO PEDRO,124,NO
ALARCÓN GUILLÍN FREDY OSCAR,125,NO
SOLÓRZANO SARRIA CÉSAR FAUSTO,126,NO
LOOR ZAMBRANO QUINCHE CONSUELO,127,NO
MARÍN LAVAYEN DENNIS GUSTAVO,128,NO
ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,NO
ROMERO LOAYZA FRANCO SEGUNDO,132,NO
SIMBAÑA VILLARREAL ABDÓN MARCELO,133,NO
SUQUILANDA VALDIVIESO BYRON VINICIO,134,NO
VERA MENDOZA TANLLY JANELA,135,NO
YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,BLANCO
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,ABSTENCION
BERGMANN REYNA CARLOS ALBERTO,9,ABSTENCION
MONTAÑO VALENCIA MAE,117,ABSTENCION
