35,asambleista,curul,total ausente,voto
,SERRANO SALGADO JOSÉ RICARDO,3.0,,AUSENTE
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,AUSENTE
,SALINAS OCHOA CAMILO AURELIO,6.0,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,9.0,,AUSENTE
,BONILLA SALCEDO VIVIANA,10.0,,AUSENTE
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,AUSENTE
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,25.0,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31.0,,AUSENTE
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,AUSENTE
,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,AUSENTE
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,AUSENTE
,MENDOZA ARÉVALO DANIEL ISAAC,42.0,,AUSENTE
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,AUSENTE
,OCHOA MORANTE MANUEL ALFREDO,45.0,,AUSENTE
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47.0,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCÍO,48.0,,AUSENTE
,ANDRADE VILLAPRADO NELLY LISSETH,50.0,,AUSENTE
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,AUSENTE
,SÁNCHEZ REYES MONTGOMERY,59.0,,AUSENTE
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,YUNDA MACHADO JORGE HOMERO,69.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,70.0,,AUSENTE
,KRONFLE KOZHAYA HENRY FABIÁN,88.0,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92.0,,AUSENTE
,GALARZA AÑAZCO ANA MERCEDES,103.0,,AUSENTE
,ZAMBRANO VERA MARIANO,106.0,,AUSENTE
,TORRES TORRES LUIS FERNANDO,113.0,,AUSENTE
