35,asambleista,curul,total ausente,voto
,MORALES POZO LENIN ALBERTO,2.0,,AUSENTE
,HAGO CELI FRANCISCO WAIKING,4.0,,AUSENTE
,TORRES CEDEÑO KERLLY ANABEL,7.0,,AUSENTE
,RIVAS ALAVA ELIANA LISSET,11.0,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,12.0,,AUSENTE
,CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,,AUSENTE
,CUESTA RIOS LIUBA ELISA,29.0,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,AUSENTE
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,AUSENTE
,GUDIÑO MENA ZOBEIDA GUISELA,43.0,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48.0,,AUSENTE
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,68.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79.0,,AUSENTE
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,,AUSENTE
,SERRANO REYES NELSON ALCIDES,86.0,,AUSENTE
,DAHIK ASTUDILLO REYTA GIOMAR,87.0,,AUSENTE
,JIMENEZ CABRERA JOSE CLEVER,90.0,,AUSENTE
,UMAGINGA GUAMAN CESAR,92.0,,AUSENTE
,VELA CAIZAPANTA ANGEL RAMIRO,98.0,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,AUSENTE
,BUCARAM PULLEY ABDALA JAIME,105.0,,AUSENTE
,ARGUELLO TROYA BLANCA AZUCENA,107.0,,AUSENTE
,VELASCO ENRIQUEZ CARLOS ALBERTO,108.0,,AUSENTE
,VELEZ MARLENE MARGARITA,109.0,,AUSENTE
,VERDUGA CEDEÑO MARY,110.0,,AUSENTE
,VILEMA FREIRE ANGEL RAMIRO,112.0,,AUSENTE
,SALGADO RIVADENEIRA DIEGO,118.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129.0,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131.0,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,132.0,,AUSENTE
,ABAD VELEZ RAUL,1.0,,SI
,AGUILAR PLACIDO ARMANDO,3.0,,SI
,ORTIZ LARA LEONARDO,5.0,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,SI
,ORDOÑEZ ALMEIDA FAUSTO EFRAIN,8.0,,SI
,ANDINO REINOSO MAURO EDMUNDO,9.0,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,SI
,MARQUEZ LOPEZ JOSE LENIN,13.0,,SI
,BERGMANN REYNA CARLOS ALBERTO,14.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,SI
,CALDERON SALTOS RICHARD OSWALDO,18.0,,SI
,CASANOVA CEPEDA XAVIER IVAN,19.0,,SI
,TOALOMBO CHIMBORAZO JOSE SEGUNDO,20.0,,SI
,ANRRANGO ZAMBRANO GERARDO ELIAS,21.0,,SI
,CASSINELLI CALI JUAN CARLOS,23.0,,SI
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,SI
,CHICA AREVALO VINICIO VETHOWEN,27.0,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,SI
,DELGADO CHALA AGUSTIN JAVIER,32.0,,SI
,FALCONI LOQUI EVELYN PAMELA,34.0,,SI
,GAGLIARDO LOOR GASTON,35.0,,SI
,GALVAN GRACIA MARIA ESPERANZA,36.0,,SI
,LARREA VITERI LIDICE VANESSA,37.0,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,SI
,SANCHEZ PERALTA EDUARDO JOSE,39.0,,SI
,GRANDA NIXON ARLIG,40.0,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44.0,,SI
,GUZMAN OCHOA LILIANA MAURA,45.0,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,SI
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,SI
,CARRILLO CRESPO HUGO FERNANDO,49.0,,SI
,SILVA MALDONADO SOFIA IRENE,50.0,,SI
,BUENDIA HERDOIZA MARIA SOLEDAD,52.0,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,SI
,MELO GARZON ESTEBAN ANDRES,56.0,,SI
,TOBAR NUÑEZ RAUL IGNACIO,57.0,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,,SI
,ALVARADO CARRION ROSANA,59.0,,SI
,OCLES PADILLA ALEXANDRA,60.0,,SI
,CAZA TIPANTA HUGO RENE,61.0,,SI
,PADRON SAETEROS GLADYS PAULINA,62.0,,SI
,BRITO MENDOZA MONICA CRISTINA,63.0,,SI
,PEÑA CARRASCO DIANA LUCIA,64.0,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,SI
,QUINCHIGUANGO GISELA,66.0,,SI
,PONCE LEON XIMENA MERCEDES,67.0,,SI
,FARES GUAILLAS MARIA SEBASTIANA,69.0,,SI
,RIVERA LOPEZ JOSE GABRIEL,70.0,,SI
,RIVERO DOGUER ANGEL ARMANDO,71.0,,SI
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,SI
,SALAZAR CEDEÑO GUADALUPE DOLORES,78.0,,SI
,MOYA DUQUE HERMAN ANIBAL,85.0,,SI
,DIAZ COKA MARIA GABRIELA,88.0,,SI
,TERAN SARZOSA SEGUNDO FAUSTO,94.0,,SI
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,96.0,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97.0,,SI
,VELA CHERONI MARIA SOLEDAD,106.0,,SI
,VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,,SI
,POSSO SALGADO LUIS ANTONIO,113.0,,SI
,ALEJANDRO MEDINA CRISTINA SORAYA,121.0,,SI
,VINTIMILLA JARRIN DIEGO ARMANDO,122.0,,SI
,VITERI GUALINGA CARLOS ELOY,123.0,,SI
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125.0,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,,SI
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127.0,,SI
,SERRANO SEGURA GRACE MARISOL,128.0,,SI
,VELASTEGUI RAMOS LEONARDO DARIO,73.0,,NO
,AGUILAR TORRES MANUEL RAMIRO,74.0,,NO
,BUSTOS CHILIQUINGA ARCADIO,80.0,,NO
,VILLAO PANCHANA RAUL ELIAS,81.0,,NO
,YANDUN POZO CASTULO RENE,82.0,,NO
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,NO
,CHICAIZA TOAPANTA WILSON ALFONSO,102.0,,NO
,DONOSO CHIRIBOGA PATRICIO,103.0,,NO
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,NO
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,NO
,MONTAÑO VALENCIA MAE,115.0,,NO
,MORETA PANCHEZ MIGUEL ANGEL,116.0,,NO
,PAEZ BENALCAZAR ANDRES TARQUINO,117.0,,NO
,PUYOL CORTEZ JORGE LUIS,119.0,,NO
,TORRES TORRES LUIS FERNANDO,120.0,,NO
,TACLE GALARRAGA MOISES FERNANDO,133.0,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,134.0,,NO
,TERAN SALCEDO RAMON FORTUNATO,135.0,,NO
,VITERI JIMENEZ CYNTHIA,136.0,,NO
,ACACHO GONZALEZ PEPE LUIS,83.0,,ABSTENCION
,FIERRO OVIEDO PACO,89.0,,ABSTENCION
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,ABSTENCION
,TIBAN GUALA LOURDES LICENIA,93.0,,ABSTENCION
,GUTIERREZ BORBUA FAUSTO GILMAR,100.0,,ABSTENCION
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,ABSTENCION
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,ABSTENCION
