asambleista,curul,voto
ORTIZ LARA LEONARDO,5,AUSENTE
MONGE ESPINEL LUIS HUMBERTO,10,AUSENTE
ARIAS RAMIREZ ALBERTO JESUS,11,AUSENTE
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16,AUSENTE
FAJARDO MOSQUERA LETTY VANESSA,33,AUSENTE
CRUZ SALAZAR FRANCISCA GABRIELA,48,AUSENTE
BUENDIA HERDOIZA MARIA SOLEDAD,52,AUSENTE
QUIROZ VALLEJO HECTOR HUGO,56,AUSENTE
MEDINA MERA VICTOR CLEMENTE,72,AUSENTE
SAENZ DE VITERI LAUTARO ENRIQUE,77,AUSENTE
VITERI GUALINGA CARLOS ELOY,123,AUSENTE
MARIN AVILA MAYTE SORAYA,125,AUSENTE
CUCALON CAMACHO HENRY EDUARDO,131,AUSENTE
SERRANO VALLADARES SAADIN ALFREDO,136,AUSENTE
AGUILAR TORRES MANUEL RAMIRO,74,SI
ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,SI
BUSTOS CHILIQUINGA ARCADIO,80,SI
YANDUN POZO CASTULO RENE,82,SI
CARDENAS SAQUICELA ULBIO EFREN,83,SI
DIAZ COKA MARIA GABRIELA,88,SI
FIERRO OVIEDO PACO,89,SI
GUALAN JAPA MILTON RODRIGO,90,SI
ORELLANA MARQUINEZ MAGALI MARGOT,91,SI
UMAJINGA GUAMAN CESAR,92,SI
TIBAN GUALA LOURDES LICENIA,93,SI
PACHECO ORDOÑEZ BAYRON EDUARDO,99,SI
GUTIERREZ BORBUA FAUSTO GILMAR,100,SI
AUQUILLA ORTEGA RAUL VICENTE,101,SI
CHICAIZA TOAPANTA WILSON ALFONSO,102,SI
DONOSO CHIRIBOGA PATRICIO,103,SI
MONCAYO CEVALLOS JOSE RICARDO,104,SI
MOREIRA MACIAS GRACE HOLANDA,105,SI
VILEMA FREIRE ANGEL RAMIRO,112,SI
POSSO SALGADO LUIS ANTONIO,113,SI
SOLORZANO SARRIA CESAR FAUSTO,114,SI
MONTAÑO VALENCIA MAE,115,SI
MORETA PANCHEZ MIGUEL ANGEL,116,SI
PAEZ BENALCAZAR ANDRES TARQUINO,117,SI
SALGADO RIVADENEIRA DIEGO,118,SI
CHICA ARTEAGA GUNTARD PAVEL,119,SI
TORRES TORRES LUIS FERNANDO,120,SI
URIBE LOPEZ FANNY ESTHER,129,SI
TAPIA LOMBEYDA LUIS FERNANDO,130,SI
REYES HIDALGO CRISTINA EUGENIA,132,SI
TACLE GALARRAGA MOISES FERNANDO,133,SI
ROMERO LOAYZA FRANCO SEGUNDO,134,SI
TERAN SALCEDO RAMON FORTUNATO,135,SI
KRONFLE GOMEZ MARIA CRISTINA,137,SI
ABAD VELEZ RAUL,1,NO
MORALES POZO LENIN ALBERTO,2,NO
AGUILAR PLACIDO ARMANDO,3,NO
MACHUCA MOSCOSO LINDA MARICELA,4,NO
ALBAN TORRES MARIANA DEL ROCIO,6,NO
MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,NO
MUÑOZ VICUÑA MARIANGEL,8,NO
ANDINO REINOSO MAURO EDMUNDO,9,NO
ARREGUI RUEDA MARCIA CECILIA,12,NO
BENAVIDES ZAMBRANO ZOILA TERESA,13,NO
BERGMANN REYNA CARLOS ALBERTO,14,NO
BORJA PEREZ GALO,15,NO
BUSTAMANTE PONCE FERNANDO XAVIER,17,NO
CALDERON SALTOS RICHARD OSWALDO,18,NO
CASANOVA CEPEDA XAVIER IVAN,19,NO
CARRILLO BETTY,20,NO
CARRION MARIA JOSE,21,NO
CARVAJAL AGUIRRE MIGUEL ANGEL,22,NO
CASSINELLI CALI JUAN CARLOS,23,NO
CAYAMBE TIPAN FAUSTO HERIBERTO,24,NO
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,NO
CHAVEZ CANALES HOLGER EZEQUIEL,26,NO
DELGADO GUTIERREZ ALEXANDRA ISABEL,27,NO
CORDOVA ENCALADA EDGAR EDUARDO,28,NO
CUESTA RIOS LIUBA ELISA,29,NO
DE LA CRUZ BERNARDO HERMAN ULISES,30,NO
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,NO
DELGADO CHALA AGUSTIN JAVIER,32,NO
FALCONI LOQUI EVELYN PAMELA,34,NO
MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,35,NO
DE LA TORRE RAMIREZ PABLO ANTONIO,36,NO
LARREA VITERI LIDICE VANESSA,37,NO
GARZON RICAURTE WILLIAM ANTONIO,38,NO
GODOY ANDRADE GINA JAKELINE,39,NO
GONZALEZ SERRANO MIRYAM CATARINA,40,NO
GUAMAN CASTRO ALEX FRANCISCO,41,NO
GUAMANGATE ANTE LUIS GILBERTO,42,NO
GUDIÑO MENA ZOBEIDA GUISELA,43,NO
TORRES PINEDA CLINTON ELIUD,44,NO
RODAS MARCA CARLOS EDUARDO,45,NO
HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46,NO
