70,asambleista,curul,total abstencion,voto
,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,ABSTENCION
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,SI
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,SI
,CALLE VERZOZI HERMUY,15.0,,SI
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,SI
,COROZO AYOVÍ JORGE WILBER,24.0,,SI
,CUESTA SANTANA ESTHER ADELINA,26.0,,SI
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,SI
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,SI
,GARCÍA POZO DIEGO OSWALDO,33.0,,SI
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,SI
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,SI
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,SI
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,SI
,SÁNCHEZ REYES MONTGOMERY,59.0,,SI
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,SI
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62.0,,SI
,MALDONADO VERA MABEL MARCELA,63.0,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,SI
,VITERI GUALINGA CARLOS ELOY,67.0,,SI
,YAR ARAUJO JUAN CARLOS,68.0,,SI
,BERNAL BERNAL ESTEBAN REMIGIO,74.0,,SI
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,SI
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,SI
,CARRIÓN MORENO CÉSAR ATAULFO,83.0,,SI
,CRUZ PROAÑO LUDOVICO ISRAEL,91.0,,SI
,ZÁRATE CASTRO JORGE EDUARDO,92.0,,SI
,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,SI
,REYES HIDALGO CRISTINA EUGENIA,99.0,,SI
,DONOSO CHIRIBOGA PATRICIO,101.0,,SI
,FLORES ARROYO JUAN FERNADO,102.0,,SI
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105.0,,SI
,CARBO AGUIRRE JONATHAN ALEXI,115.0,,SI
,MINCHALA MURILLO RÓMULO MARCELO,116.0,,SI
,MONTAÑO VALENCIA MAE,117.0,,SI
,MORENO GUERRERO HENRY FREDY,118.0,,SI
,PACHALA POMA LUIS ALBERTO,120.0,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125.0,,SI
,SOLORZANO SARRIA CESAR FAUSTO,126.0,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,132.0,,SI
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134.0,,SI
,VERA MENDOZA TANLLY JANELA,135.0,,SI
,PADILLA SIERRA MAGGIE DOLORES,137.0,,SI
