35,asambleista,curul,total ausente,voto
,ACERO LANCHIMBA ESTHELA LILIANA,2.0,,AUSENTE
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,AUSENTE
,ORDOÑEZ ALMEIDA FAUSTO EFRAIN,8.0,,AUSENTE
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,AUSENTE
,VILLAMAR CASAL JOSE LEONIDAS,12.0,,AUSENTE
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,AUSENTE
,QUIMBIULCO BEDON LORENA GABRIELA,18.0,,AUSENTE
,CARRILLO BETTY,20.0,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,21.0,,AUSENTE
,CARVAJAL AGUIRRE MIGUEL ÁNGEL,22.0,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,29.0,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40.0,,AUSENTE
,JARAMILLO RODRIGUEZ VICTOR HUGO,43.0,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48.0,,AUSENTE
,TOBAR NUÑEZ RAUL IGNACIO,57.0,,AUSENTE
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66.0,,AUSENTE
,RIVERO DOGUER ANGEL ARMANDO,71.0,,AUSENTE
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,75.0,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,AUSENTE
,FIERRO OVIEDO PACO,89.0,,AUSENTE
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,AUSENTE
,VASCONEZ ARTEAGA ANNY MARLLELY,97.0,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,AUSENTE
,GUTIERREZ BORBUA FAUSTO GILMAR,100.0,,AUSENTE
,VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,,AUSENTE
,POSSO SALGADO LUIS ANTONIO,113.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,AUSENTE
,MORAN AMALIA,125.0,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,127.0,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128.0,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129.0,,AUSENTE
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,AUSENTE
,CUCALÓN CAMACHO HENRY EDUARDO,131.0,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,AUSENTE
,ABAD VELEZ RAUL,1.0,,SI
,AGUILAR PLACIDO ARMANDO,3.0,,SI
,GOMEZ WALFANDERY IRMA,4.0,,SI
,AGUIRRE HIDALGO DORA ANADELA,5.0,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,SI
,ANDINO REINOSO MAURO EDMUNDO,9.0,,SI
,RIVAS ALAVA ELIANA LISSET,11.0,,SI
,MARQUEZ LOPEZ JOSE LENIN,13.0,,SI
,BERGMANN REYNA CARLOS ALBERTO,14.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,SI
,CALLE ANDRADE MARIA AUGUSTA,19.0,,SI
,BRAVO RAMIREZ MARIA LORENA,23.0,,SI
,CONSTANTE NIETO MARIANA DE LAS MERCEDES,24.0,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,SI
,CHICA AREVALO VINICIO VETHOWEN,27.0,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,SI
,DELGADO CHALA AGUSTIN JAVIER,32.0,,SI
,FALCONI LOQUI EVELYN PAMELA,34.0,,SI
,GAGLIARDO LOOR GASTON,35.0,,SI
,DE LA TORRE RAMIREZ PABLO ANTONIO,36.0,,SI
,MENDOZA ARÉVALO DANIEL ISAAC,37.0,,SI
,CALAZACON AGUAVIL MARIA ALBERTINA,38.0,,SI
,GODOY ANDRADE GINA JAKELINE,39.0,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,44.0,,SI
,GUZMAN OCHOA LILIANA MAURA,45.0,,SI
,GUTIERREZ MOSCOSO MARIA EUGENIA,46.0,,SI
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,SI
,JEREZ PILLA BETTY MARICELA,49.0,,SI
