asambleista,curul,voto
VELA CHERONI MARIA SOLEDAD,106,NO
ARGUELLO TROYA BLANCA AZUCENA,107,NO
VELASCO ENRIQUEZ CARLOS ALBERTO,108,NO
VICUÑA MUÑOZ MARIA ALEJANDRA,111,NO
VILEMA FREIRE ANGEL RAMIRO,112,NO
AGUINDA TAPUY DIANA YOLANDA,114,NO
MONTAÑO VALENCIA MAE,115,NO
MORETA PANCHEZ MIGUEL ANGEL,116,NO
LLANES SUAREZ HENRY MANUEL,117,NO
PLAZA CRISTINA,118,NO
CHICA ARTEAGA GUNTARD PAVEL,119,NO
VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121,NO
VINTIMILLA JARRIN DIEGO ARMANDO,122,NO
VITERI GUALINGA CARLOS ELOY,123,NO
MERA RIVADENEIRA MARIA CECILIA,124,NO
ZAMBRANO CABANILLA EDUARDO ALFONSO,125,NO
ZAMBRANO CASTRO NORALMA ELIZABETH,126,NO
TAPIA LOMBEYDA LUIS FERNANDO,130,NO
REYES HIDALGO CRISTINA EUGENIA,132,NO
TACLE GALARRAGA MOISES FERNANDO,133,NO
ROMERO LOAYZA FRANCO SEGUNDO,134,NO
YELA BURGOS DAYSE INES,135,NO
OÑATE LOMBEIDA WIMPER BOLIVAR,136,NO
KRONFLE GOMEZ MARIA CRISTINA,137,NO
MATIAS APOLINARIO RITA AZUCENA,81,ABSTENCION
TORRES TORRES LUIS FERNANDO,120,ABSTENCION
