70,asambleista,curul,total si,voto
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,AUSENTE
,FALCONI LOQUI EVELYN PAMELA,34.0,,AUSENTE
,LARREA VITERI LIDICE VANESSA,37.0,,AUSENTE
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,AUSENTE
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,AUSENTE
,PAEZ BENALCAZAR ANDRES TARQUINO,117.0,,AUSENTE
,TORRES TORRES LUIS FERNANDO,120.0,,AUSENTE
,ABAD VELEZ RAUL,1.0,,SI
,AGUILAR PLACIDO ARMANDO,3.0,,SI
,MACHUCA MOSCOSO LINDA MARICELA,4.0,,SI
,AGUIRRE HIDALGO DORA ANDELA,5.0,,SI
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,SI
,ARCE PLUAS ALEXANDRA MANUELA,10.0,,SI
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,SI
,ARREGUI RUEDA MARCIA CECILIA,12.0,,SI
,BENAVIDES ZAMBRANO ZOILA TERESA,13.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,BUENDIA HERDOIZA MARIA SOLEDAD,16.0,,SI
,PAREDES BENAVIDES LIDIA VICTORIA,17.0,,SI
,CALDERON SALTOS RICHARD OSWALDO,18.0,,SI
,CALLE ANDRADE MARIA AUGUSTA,19.0,,SI
,CARRILLO BETTY,20.0,,SI
,CARRION MARIA JOSE,21.0,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,,SI
,CASSINELLI CALI JUAN CARLOS,23.0,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,SI
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,SI
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,SI
,CUESTA RIOS LIUBA ELISA,29.0,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,SI
,DELGADO CHALA AGUSTIN JAVIER,32.0,,SI
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,SI
,GAGLIARDO LOOR GASTON,35.0,,SI
,GALVAN GRACIA MARIA ESPERANZA,36.0,,SI
,GARZON RECAURTE WILLIAM ANTONIO,38.0,,SI
,GODOY ANDRADE GINA JAKELINE,39.0,,SI
,GRANDA NIXON ARLIG,40.0,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,SI
,GUEVARA VILLACRES VERONICA MARGARITA,44.0,,SI
,HURTADO ANGULO IVAN JACINTO,47.0,,SI
,ALMAN COROZO MARIA DEL CARMEN,48.0,,SI
,JEREZ PILLA BETTY MARICELA,49.0,,SI
,LARA RIVADENEIRA LENIN JOSE,51.0,,SI
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,52.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,SI
,MELO GARZON ESTEBAN ANDRES,56.0,,SI
,ALVARADO CARRION ROSANA,59.0,,SI
,PABON CARANQUI PAOLA VERENICE,61.0,,SI
,PATIÑO AROCA RAUL LEONARDO,63.0,,SI
,PONCE LEON XIMENA MERCEDES,67.0,,SI
,FARES GUAILLAS MARIA SEBASTIANA,69.0,,SI
,RIVERA LOPEZ JOSE GABRIEL,70.0,,SI
,RIVERO DOGUER ANGEL ARMANDO,71.0,,SI
,ROBLES ANDRADE DENISSE PRISCILA,72.0,,SI
,AGUILAR TORRES MANUEL RAMIRO,74.0,,SI
,CASTILLO VIVANCO JOSE BOLIVAR,75.0,,SI
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79.0,,SI
,YANDUN POZO CASTULO RENE,82.0,,SI
,LEDESMA ZAMORA DARWIN GERMAN,88.0,,SI
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,SI
,VALLE PINARGOTE BAIRON LEONARDO,96.0,,SI
,VASCONEZ ARTEAGA ANNY MARLLELY,97.0,,SI
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,SI
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,SI
,CHICAIZA TOAPANTA WILSON ALFONSO,102.0,,SI
,DONOSO CHIRIBOGA PATRICIO,103.0,,SI
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,SI
,GARCIA CANO LUIGI FRANCISCO,105.0,,SI
,ARGUELLO TROYA BLANCA AZUCENA,107.0,,SI
,VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,,SI
,POSSO SALGADO LUIS ANTONIO,113.0,,SI
,MONTAÑO VALENCIA MAE,115.0,,SI
,MORETA PANCHEZ MIGUEL ANGEL,116.0,,SI
,SALGADO RIVADENEIRA DIEGO,118.0,,SI
,TENELEMA ROMERO EDMUNDO RAMIRO,119.0,,SI
,URIBE LOPEZ FANNY ESTHER,129.0,,SI
,ALCIVAR MERA FELIX ANDRES,7.0,,NO
,CHICA AREVALO VINICIO VETHOWEN,27.0,,NO
,GUDIÑO MENA ZOBEIDA GUISELA,43.0,,NO
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,NO
