34,asambleista,curul,total ausente,voto
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,AUSENTE
,CEVALLOS GUEVARA LESLIE MARCELA,3.0,,AUSENTE
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,6.0,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,AUSENTE
,CALLE VERZOZI HERMUY,15.0,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20.0,,AUSENTE
,CUESTA SANTANA ESTHER ADELINA,26.0,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,AUSENTE
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,AUSENTE
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,AUSENTE
,PARRA VILLACIS JONATHAN EMANUEL,56.0,,AUSENTE
,CHICAIZA LECHÓN VERÓNICA,57.0,,AUSENTE
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,AUSENTE
,VERA FLORES WENDY VANESSA,64.0,,AUSENTE
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,YUNDA MACHADO JORGE HOMERO,69.0,,AUSENTE
,PESANTEZ SALTO DIANA ELIZABETH,71.0,,AUSENTE
,AUQUILLA ORTEGA RAÚL VICENTE,73.0,,AUSENTE
,BERNAL BERNAL ESTEBAN REMIGIO,74.0,,AUSENTE
,AZUERO RODAS ELISEO ALEXIS,77.0,,AUSENTE
,SUÁREZ PROAÑO LUIS FERNANDO,80.0,,AUSENTE
,CRUZ VACA JEANNINE DEL CISNE,92.0,,AUSENTE
,CUESTA ORELLANA MARÍA DE LOURDES,93.0,,AUSENTE
,PASPUEL GARCÍA REBECA SILVANA,95.0,,AUSENTE
,"PASSAILAIGUE MANOSALVAS DALLYANAMARIANELA",98.0,,AUSENTE
,MOLINA CELI KARLA ELIZABETH,105.0,,AUSENTE
,TORRES TORRES LUIS FERNANDO,113.0,,AUSENTE
,LARREÁTEGUI FABARA MARÍA GABRIELA,114.0,,AUSENTE
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130.0,,AUSENTE
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,AUSENTE
