104,asambleista,curul,total si,voto
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,AUSENTE
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,AUSENTE
,DELGADO CHALA AGUSTIN JAVIER,32.0,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,AUSENTE
,MENDOZA DANIEL ISAAC,37.0,,AUSENTE
,MORAN AMALIA,47.0,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48.0,,AUSENTE
,ARANA COELLO YIMABEL MARIA,50.0,,AUSENTE
,MACAS JOSE LUIS,63.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,SAENZ DE VITERI LAUTARO ENRIQUE,77.0,,AUSENTE
,VACA COJITAMBO ELENA ANA DEL ROCIO,84.0,,AUSENTE
,DAHIK ASTUDILLO REYTA GIOMAR,87.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,103.0,,AUSENTE
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,AUSENTE
,MOREIRA MACIAS GRACE HOLANDA,105.0,,AUSENTE
,VELIZ BRIONES JOSE FELIX,109.0,,AUSENTE
,VILEMA FREIRE ANGEL RAMIRO,112.0,,AUSENTE
,POSSO SALGADO LUIS ANTONIO,113.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,AUSENTE
,LLANES SUAREZ HENRY MANUEL,117.0,,AUSENTE
,SALGADO RIVADENEIRA DIEGO,118.0,,AUSENTE
,MEDINA TAMBACO EMILY JESUS,119.0,,AUSENTE
,PONCE RUBIO ELVIA AZUCENA,122.0,,AUSENTE
,ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,,AUSENTE
,URIBE LOPEZ FANNY ESTHER,129.0,,AUSENTE
,MUENTES ALVARADO PABLO ANDRES,132.0,,AUSENTE
,ABAD VELEZ RAUL,1.0,,SI
,ACERO LANCHIMBA ESTHELA LILIANA,2.0,,SI
,AGUILAR PLACIDO ARMANDO,3.0,,SI
,HAGO CELI FRANCISCO WAIKING,4.0,,SI
,AGUIRRE HIDALGO DORA ANADELA,5.0,,SI
,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6.0,,SI
,MUÑOZ VICUÑA MARIANGEL,8.0,,SI
,ANDINO REINOSO MAURO EDMUNDO,9.0,,SI
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,SI
,RIVAS ALAVA ELIANA LISSET,11.0,,SI
,VILLAMAR CASAL JOSE LEONIDAS,12.0,,SI
,MARQUEZ LOPEZ JOSE LENIN,13.0,,SI
,BERGMANN REYNA CARLOS ALBERTO,14.0,,SI
,BORJA PEREZ GALO,15.0,,SI
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,SI
,CALDERON SALTOS RICHARD OSWALDO,18.0,,SI
,CALLE ANDRADE MARIA AUGUSTA,19.0,,SI
,CARRILLO BETTY,20.0,,SI
,CARRION MARIA JOSE,21.0,,SI
,CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,,SI
,BRAVO RAMIREZ MARIA LORENA,23.0,,SI
,CONSTANTE NIETO MARIANA DE LAS MERCEDES,24.0,,SI
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,SI
,CHICA AREVALO VINICIO VETHOWEN,27.0,,SI
,DAVILA RAMIREZ BELGICA ELIZABETH,28.0,,SI
,MACIAS GARCIA PEDRO ROBERTO GEOVANNY,29.0,,SI
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,SI
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,SI
,FALCONI LOQUI EVELYN PAMELA,34.0,,SI
,GAGLIARDO LOOR GASTON,35.0,,SI
,BAZURTO ROLDAN NANCIS CELESTE,36.0,,SI
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,SI
,GODOY ANDRADE GINA JAKELINE,39.0,,SI
,GRANDA NIXON ARLIG,40.0,,SI
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,SI
,GUAMANGATE ANTE LUIS GILBERTO,42.0,,SI
,JARAMILLO RODRIGUEZ VICTOR HUGO,43.0,,SI
,TORRES PINEDA CLINTON ELIUD,44.0,,SI
,RODAS MARCA CARLOS EDUARDO,45.0,,SI
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,SI
,JEREZ PILLA BETTY MARICELA,49.0,,SI
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,SI
,REYES MACHUCA EFREN RODRIGO,52.0,,SI
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,SI
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,SI
,MELO GARZON ESTEBAN ANDRES,56.0,,SI
,TOBAR NUÑEZ RAUL IGNACIO,57.0,,SI
,MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,,SI
,ALVARADO CARRION ROSANA,59.0,,SI
,OCLES PADILLA ALEXANDRA,60.0,,SI
,CAZA TIPANTA HUGO RENE,61.0,,SI
,SANANGO AUCACAMA LUIS LORENZO,62.0,,SI
,TORRES LARA JOSE EDUARDO,64.0,,SI
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,SI
