35,asambleista,curul,total ausente,voto
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119.0,,SI
,PACHALA POMA LUIS ALBERTO,120.0,,SI
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121.0,,SI
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123.0,,SI
,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125.0,,SI
,SOLÓRZANO SARRIA CÉSAR FAUSTO,126.0,,SI
,LLANES SUAREZ HENRY MANUEL,128.0,,SI
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130.0,,SI
,PAREDES TORRES WASHINGTON ARTURO,131.0,,SI
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,SI
,VERA MENDOZA TANLLY JANELA,135.0,,SI
,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,SI
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,ABSTENCION
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,ABSTENCION
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,ABSTENCION
,CADENA VÉLEZ KARLA GABRIELA,14.0,,ABSTENCION
,CALLE VERZOZI HERMUY,15.0,,ABSTENCION
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,ABSTENCION
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,ABSTENCION
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,ABSTENCION
,CUESTA SANTANA ESTHER ADELINA,26.0,,ABSTENCION
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,ABSTENCION
,ALEAGA SANTOS RONNY XAVIER,29.0,,ABSTENCION
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,ABSTENCION
,GARCÍA POZO DIEGO OSWALDO,33.0,,ABSTENCION
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,ABSTENCION
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,ABSTENCION
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,ABSTENCION
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,ABSTENCION
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,ABSTENCION
,AGUALSACA GUAMAN JOSE CLEMENTE,54.0,,ABSTENCION
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,ABSTENCION
,SALGADO ANDRADE SILVIA BETZABETH,57.0,,ABSTENCION
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,ABSTENCION
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,ABSTENCION
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,ABSTENCION
,VALLE PINARGOTE BAIRON LEONARDO,62.0,,ABSTENCION
,VERA FLORES WENDY VANESSA,64.0,,ABSTENCION
,GUAMBA DÍAZ NANCY JEANNETH,69.0,,ABSTENCION
,LOOR ALCÍVAR LEXI LIDUVINA,70.0,,ABSTENCION
,ANDRADE MUÑOZ WILMA PIEDAD,71.0,,ABSTENCION
,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,ABSTENCION
,ROMERO LOAYZA FRANCO SEGUNDO,132.0,,ABSTENCION
