69,asambleista,curul,total si,voto
,CAMBALA MONTECE CARLOS ALBERTO,16.0,,NO
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,NO
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20.0,,NO
,CERDA MIRANDA GABRIELA PAMELA,21.0,,NO
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,NO
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,NO
,COROZO AYOVÍ JORGE WILBER,24.0,,NO
,CUESTA SANTANA ESTHER ADELINA,26.0,,NO
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,NO
,ESPÍN REYES EUGENIA SOFÍA,29.0,,NO
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,NO
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,NO
,GARCÍA POZO DIEGO OSWALDO,33.0,,NO
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,NO
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,NO
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,NO
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,NO
,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,NO
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,NO
,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,NO
,ALONSO FERNÁNDEZ FÉLIX FREDY,46.0,,NO
,PLAZA CASTILLO LENIN,49.0,,NO
,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,NO
,QUIJIJE DELGADO LUIS RAFAEL,52.0,,NO
,RODRÍGUEZ CEDEÑO ROSA ELENA,53.0,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,NO
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,NO
,SALGADO ANDRADE SILVIA BETZABETH,57.0,,NO
,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,NO
,SÁNCHEZ REYES MONTGOMERY,59.0,,NO
,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,NO
,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,NO
,VALLE PINARGOTE BAIRON LEONARDO,62.0,,NO
,VERA FLORES WENDY VANESSA,64.0,,NO
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,NO
,VITERI GUALINGA CARLOS ELOY,67.0,,NO
,ZAMBRANO ARTEAGA JOSE RICARDO,70.0,,NO
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84.0,,NO
,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,NO
,OVIEDO ENDERICA DANIELA NATHALY,5.0,,ABSTENCION
,CADENA VÉLEZ KARLA GABRIELA,14.0,,ABSTENCION
,VELIN CORTÉS JUAN PABLO,63.0,,ABSTENCION
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85.0,,ABSTENCION
