67,asambleista,curul,total no,voto
,MACHUCA MOSCOSO LINDA MARICELA,4,,AUSENTE
,AGUIRRE HIDALGO DORA ANDELA,5,,AUSENTE
,ARCE PLUAS ALEXANDRA MANUELA,10,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,12,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,13,,AUSENTE
,BUENDIA HERDOIZA MARIA SOLEDAD,16,,AUSENTE
,CALDERON SALTOS RICHARD OSWALDO,18,,AUSENTE
,CARVAJAL AGUIRRE MIGUEL ANGEL,22,,AUSENTE
,CASSINELLI CALI JUAN CARLOS,23,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,,AUSENTE
,CHICA AREVALO VINICIO VETHOWEN,27,,AUSENTE
,CORDOVA ENCALADA EDGAR EDUARDO,28,,AUSENTE
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,,AUSENTE
,DELGADO CHALA AGUSTIN JAVIER,32,,AUSENTE
,FAJARDO MOSQUERA LETTY VANESSA,33,,AUSENTE
,LARREA VITERI LIDICE VANESSA,37,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40,,AUSENTE
,GUDIÑO MENA ZOBEIDA GUISELA,43,,AUSENTE
,GUEVARA VILLACRES VERONICA MARGARITA,44,,AUSENTE
,GUZMAN OCHOA LILIANA MAURA,45,,AUSENTE
,HURTADO ANGULO IVAN JACINTO,47,,AUSENTE
,ISSA WAGNER NICOLAS JOSE,48,,AUSENTE
,SILVA MALDONADO SOFIA IRENE,50,,AUSENTE
,LARRIVA ALVARADO OSCAR OSWALDO,53,,AUSENTE
,OCLES PADILLA ALEXANDRA,60,,AUSENTE
,PABON CARANQUI PAOLA VERENICE,61,,AUSENTE
,PATIÑO AROCA RAUL LEONARDO,63,,AUSENTE
,PEÑA CARRASCO DIANA LUCIA,64,,AUSENTE
,CASTILLO VIVANCO JOSE BOLIVAR,75,,AUSENTE
,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79,,AUSENTE
,BUSTOS CHILIQUINGA ARCADIO,80,,AUSENTE
,CISNEROS SORIA OSWALDO DANIEL,81,,AUSENTE
,JIMENEZ CABRERA JOSE CLEVER,90,,AUSENTE
,BUCARAM PULLEY ABDALA JAIME,105,,AUSENTE
,SOLORZANO MANUEL ANTONIO,106,,AUSENTE
,VELIZ BRIONES JOSE FELIX,109,,AUSENTE
,VERDUGA CEDEÑO MARY,110,,AUSENTE
,VICUÑA MUÑOZ MARIA ALEJANDRA,111,,AUSENTE
,VILEMA FREIRE ANGEL RAMIRO,112,,AUSENTE
,MORETA PANCHEZ MIGUEL ANGEL,116,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124,,AUSENTE
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125,,AUSENTE
,ZAPATA MANTILLA JOSE LEONIDAS,128,,AUSENTE
,CUCALON CAMACHO HENRY EDUARDO,131,,AUSENTE
,ROMERO LOAYZA FRANCO SEGUNDO,134,,AUSENTE
,VITERI JIMENEZ CYNTHIA,136,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137,,AUSENTE
,QUINDIGALLE LICTAPUZON GUILLERMO ORLANDO,6,,SI
,AGUILAR TORRES MANUEL RAMIRO,74,,SI
,ACACHO GONZALEZ PEPE LUIS,83,,SI
