35,asambleista,curul,total ausente,voto
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,AUSENTE
,MUÑOZ VICUÑA MARIANGEL,8.0,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,13.0,,AUSENTE
,QUIMBIULCO BEDON LORENA GABRIELA,18.0,,AUSENTE
,BRAVO RAMIREZ MARIA LORENA,23.0,,AUSENTE
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,AUSENTE
,FALCONI LOQUI EVELYN PAMELA,34.0,,AUSENTE
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,AUSENTE
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,AUSENTE
,JEREZ PILLA BETTY MARICELA,49.0,,AUSENTE
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,AUSENTE
,REYES MACHUCA EFREN RODRIGO,52.0,,AUSENTE
,JAIGUA ALVARADO CELIA MARIA,53.0,,AUSENTE
,GOMEZ IRMA,63.0,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,AUSENTE
,MEDINA MERA VICTOR CLEMENTE,72.0,,AUSENTE
,AGUILAR TORRES MANUEL RAMIRO,74.0,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,AUSENTE
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,AUSENTE
,MATIAS APOLINARIO RITA AZUCENA,81.0,,AUSENTE
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,,AUSENTE
,DIAZ COKA MARIA GABRIELA,88.0,,AUSENTE
,QUEZADA CARRION ANDREA MARIBEL,90.0,,AUSENTE
,IÑIGUEZ APOLO LENIN MAURICIO,95.0,,AUSENTE
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,AUSENTE
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,AUSENTE
,MONCAYO CEVALLOS JOSE RICARDO,104.0,,AUSENTE
,VERDUGA CEDEÑO MARY,110.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,AUSENTE
,SERRANO SEGURA GRACE MARISOL,128.0,,AUSENTE
