A1,A2,voto,valor
AGUIÑAGA VALLEJO PAOLA MARCELA,SÁNCHEZ REYES MONTGOMERY,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ALEMÁN MARMOL MÓNICA ROCÍO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SOLIZ CARRIÓN DORIS JOSEFINA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VALLE PINARGOTE BAIRON LEONARDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VELIN CORTÉS JUAN PABLO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VERA FLORES WENDY VANESSA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VERA RODRÍGUEZ CARLOS ALFREDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VILLALVA MIRANDA LIRA DE LA PAZ,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VITERI GUALINGA CARLOS ELOY,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,YAR ARAUJO JUAN CARLOS,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,YUNDA MACHADO JORGE HOMERO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ZAMBRANO ARTEAGA JOSE RICARDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ZAMBRANO CASTRO NORALMA ELIZABETH,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,AZUERO RODAS ELISEO ALEXIS,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ZAMBRANO VALLE EDUARDO MAURICIO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ZAMBRANO VERA MARIANO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CANDELL SOTO JAIME ENRIQUE JIMMY,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ALARCÓN GUILLÍN FREDY OSCAR,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SERRANO SALGADO JOSÉ RICARDO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ARIAS RAMÍREZ ALBERTO JESÚS,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ARREGUI RUEDA MARCIA CECILIA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ARTEAGA MUÑOZ KARINA CECILIA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,BERGMANN REYNA CARLOS ALBERTO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,BONILLA SALCEDO VIVIANA,SI,1
