A1,A2,voto,valor
ABAD VELEZ RAUL,ACERO LANCHIMBA ESTHELA LILIANA,SI,1
ABAD VELEZ RAUL,AGUILAR PLACIDO ARMANDO,SI,1
ABAD VELEZ RAUL,MACHUCA MOSCOSO LINDA MARICELA,SI,1
ABAD VELEZ RAUL,AGUIRRE HIDALGO DORA ANDELA,SI,1
ABAD VELEZ RAUL,ALBAN TORRES MARIANA DEL ROCIO,SI,1
ABAD VELEZ RAUL,TORRES CEDEÑO KERLLY ANABEL,SI,1
ABAD VELEZ RAUL,MUÑOZ VICUÑA MARIANGEL,SI,1
ABAD VELEZ RAUL,ANDINO REINOSO MAURO EDMUNDO,SI,1
ABAD VELEZ RAUL,ARCE PLUAS ALEXANDRA MANUELA,SI,1
ABAD VELEZ RAUL,ARIAS RAMIREZ ALBERTO JESUS,SI,1
ABAD VELEZ RAUL,ARREGUI RUEDA MARCIA CECILIA,SI,1
ABAD VELEZ RAUL,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ABAD VELEZ RAUL,BERGMANN REYNA CARLOS ALBERTO,SI,1
ABAD VELEZ RAUL,BORJA PEREZ GALO,SI,1
ABAD VELEZ RAUL,BUENDIA HERDOIZA MARIA SOLEDAD,SI,1
ABAD VELEZ RAUL,PAREDES BENAVIDES LIDIA VICTORIA,SI,1
ABAD VELEZ RAUL,QUIMBIULCO BEDON LORENA GABRIELA,SI,1
ABAD VELEZ RAUL,CALLE ANDRADE MARIA AUGUSTA,SI,1
ABAD VELEZ RAUL,CARRILLO BETTY,SI,1
ABAD VELEZ RAUL,CARRION MARIA JOSE,SI,1
ABAD VELEZ RAUL,CARVAJAL AGUIRRE MIGUEL ANGEL,SI,1
ABAD VELEZ RAUL,CASSINELLI CALI JUAN CARLOS,SI,1
ABAD VELEZ RAUL,CAYAMBE TIPAN FAUSTO HERIBERTO,SI,1
ABAD VELEZ RAUL,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
ABAD VELEZ RAUL,CHAVEZ CANALES HOLGER EZEQUIEL,SI,1
ABAD VELEZ RAUL,CHICA AREVALO VINICIO VETHOWEN,SI,1
ABAD VELEZ RAUL,CORDOVA ENCALADA EDGAR EDUARDO,SI,1
ABAD VELEZ RAUL,CUESTA RIOS LIUBA ELISA,SI,1
ABAD VELEZ RAUL,DE LA CRUZ BERNARDO HERMAN ULISES,SI,1
ABAD VELEZ RAUL,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI,1
ABAD VELEZ RAUL,DELGADO CHALA AGUSTIN JAVIER,SI,1
ABAD VELEZ RAUL,FAJARDO MOSQUERA LETTY VANESSA,SI,1
ABAD VELEZ RAUL,FALCONI LOQUI EVELYN PAMELA,SI,1
ABAD VELEZ RAUL,GAGLIARDO LOOR GASTON,SI,1
ABAD VELEZ RAUL,GALVAN GRACIA MARIA ESPERANZA,SI,1
ABAD VELEZ RAUL,MENDOZA DANIEL ISAAC,SI,1
ABAD VELEZ RAUL,GARZON RECAURTE WILLIAM ANTONIO,SI,1
ABAD VELEZ RAUL,SANCHEZ PERALTA EDUARDO JOSE,SI,1
ABAD VELEZ RAUL,GONZALEZ SERRANO MIRYAM CATARINA,SI,1
ABAD VELEZ RAUL,GUAMAN CASTRO ALEX FRANCISCO,SI,1
ABAD VELEZ RAUL,GUAMANGATE ANTE LUIS GILBERTO,SI,1
ABAD VELEZ RAUL,GUDIÑO MENA ZOBEIDA GUISELA,SI,1
ABAD VELEZ RAUL,GUEVARA VILLACRES VERONICA MARGARITA,SI,1
ABAD VELEZ RAUL,GUZMAN OCHOA LILIANA MAURA,SI,1
ABAD VELEZ RAUL,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,SI,1
ABAD VELEZ RAUL,HURTADO ANGULO IVAN JACINTO,SI,1
ABAD VELEZ RAUL,ISSA WAGNER NICOLAS JOSE,SI,1
ABAD VELEZ RAUL,JEREZ PILLA BETTY MARICELA,SI,1
ABAD VELEZ RAUL,JUEZ JUEZ OMAR JUSEPH,SI,1
ABAD VELEZ RAUL,LARA RIVADENEIRA LENIN JOSE,SI,1
ABAD VELEZ RAUL,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI,1
ABAD VELEZ RAUL,LARRIVA ALVARADO OSCAR OSWALDO,SI,1
ABAD VELEZ RAUL,LEDESMA ZAMORA OSCAR ALFONSO,SI,1
ABAD VELEZ RAUL,AGUIÑAGA VALLEJO PAOLA MARCELA,SI,1
ABAD VELEZ RAUL,MELO GARZON ESTEBAN ANDRES,SI,1
ABAD VELEZ RAUL,MOROCHO VELAÑA NANCY BEATRIZ,SI,1
ABAD VELEZ RAUL,MUÑOZ AVENDAÑO ROSA ELVIRA,SI,1
ABAD VELEZ RAUL,ALVARADO CARRION ROSANA,SI,1
ABAD VELEZ RAUL,OCLES PADILLA ALEXANDRA,SI,1
ABAD VELEZ RAUL,PABON CARANQUI PAOLA VERENICE,SI,1
ABAD VELEZ RAUL,PADRON SAETEROS GLADYS PAULINA,SI,1
ABAD VELEZ RAUL,BRITO MENDOZA MONICA CRISTINA,SI,1
ABAD VELEZ RAUL,PEÑA CARRASCO DIANA LUCIA,SI,1
ABAD VELEZ RAUL,PEÑA PACHECO XIMENA DEL ROCIO,SI,1
ABAD VELEZ RAUL,QUINCHIGUANGO GISELA,SI,1
ABAD VELEZ RAUL,PONCE LEON XIMENA MERCEDES,SI,1
ABAD VELEZ RAUL,PROAÑO CIFUENTES ROBERTH MAURICIO,SI,1
ABAD VELEZ RAUL,FARFAN APONTE RICHARD WILSON,SI,1
ABAD VELEZ RAUL,JIJON BUENDIA ITALIA LUISA,SI,1
ABAD VELEZ RAUL,BARAHONA REVELO ANITA PATRICIA,SI,1
ABAD VELEZ RAUL,ROBLES ANDRADE DENISSE PRISCILA,SI,1
ABAD VELEZ RAUL,SANCHEZ MIÑO ALEXIS REYNALDO,SI,1
ABAD VELEZ RAUL,CASTILLO VIVANCO JOSE BOLIVAR,SI,1
ABAD VELEZ RAUL,RODRIGUEZ DELGADO MARIA VERONICA,SI,1
ABAD VELEZ RAUL,GARCIA PLUAS BEATRIZ CANDELARIA,SI,1
ABAD VELEZ RAUL,SALAZAR CEDEÑO GUADALUPE DOLORES,SI,1
ABAD VELEZ RAUL,ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,SI,1
ABAD VELEZ RAUL,CISNEROS SORIA OSWALDO DANIEL,SI,1
ABAD VELEZ RAUL,YANDUN POZO CASTULO RENE,SI,1
ABAD VELEZ RAUL,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,SI,1
ABAD VELEZ RAUL,SANMIGUEL PALACIOS GINA ZITA,SI,1
ABAD VELEZ RAUL,SERRRANO REYES NELSON ALCIDES,SI,1
ABAD VELEZ RAUL,SOLANO MORENO ALEX FABIAN,SI,1
ABAD VELEZ RAUL,TERAN SARZOSA SEGUNDO FAUSTO,SI,1
ABAD VELEZ RAUL,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,SI,1
ABAD VELEZ RAUL,VALLE PINARGOTE BAIRON LEONARDO,SI,1
ABAD VELEZ RAUL,VASCONEZ ARTEAGA ANNY MARLLELY,SI,1
ABAD VELEZ RAUL,VELA CAIZAPANTA ANGEL RAMIRO,SI,1
ABAD VELEZ RAUL,PACHECO ORDOÑEZ BAYRON EDUARDO,SI,1
ABAD VELEZ RAUL,VELA CHERONI MARIA SOLEDAD,SI,1
ABAD VELEZ RAUL,ARGUELLO TROYA BLANCA AZUCENA,SI,1
ABAD VELEZ RAUL,VELASCO ENRIQUEZ CARLOS ALBERTO,SI,1
ABAD VELEZ RAUL,VELIZ BRIONES JOSE FELIX,SI,1
ABAD VELEZ RAUL,VERDUGA CEDEÑO MARY,SI,1
ABAD VELEZ RAUL,VICUÑA MUÑOZ MARIA ALEJANDRA,SI,1
ABAD VELEZ RAUL,VILEMA FREIRE ANGEL RAMIRO,SI,1
ABAD VELEZ RAUL,POSSO SALGADO LUIS ANTONIO,SI,1
ABAD VELEZ RAUL,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,SI,1
ABAD VELEZ RAUL,VINTIMILLA JARRIN DIEGO ARMANDO,SI,1
ABAD VELEZ RAUL,VITERI GUALINGA CARLOS ELOY,SI,1
ABAD VELEZ RAUL,ZAMBRANO ARTEAGA JOSE RICARDO,SI,1
ABAD VELEZ RAUL,MARIN AVILA MAYTE SORAYA,SI,1
ABAD VELEZ RAUL,ZAMBRANO CASTRO NORALMA ELIZABETH,SI,1
ABAD VELEZ RAUL,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI,1
ABAD VELEZ RAUL,ZAPATA MANTILLA JOSE LEONIDAS,SI,1
ABAD VELEZ RAUL,URIBE LOPEZ FANNY ESTHER,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,AGUILAR PLACIDO ARMANDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,MACHUCA MOSCOSO LINDA MARICELA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,AGUIRRE HIDALGO DORA ANDELA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ALBAN TORRES MARIANA DEL ROCIO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,TORRES CEDEÑO KERLLY ANABEL,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,MUÑOZ VICUÑA MARIANGEL,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ANDINO REINOSO MAURO EDMUNDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ARCE PLUAS ALEXANDRA MANUELA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ARIAS RAMIREZ ALBERTO JESUS,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ARREGUI RUEDA MARCIA CECILIA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BERGMANN REYNA CARLOS ALBERTO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BORJA PEREZ GALO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BUENDIA HERDOIZA MARIA SOLEDAD,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,PAREDES BENAVIDES LIDIA VICTORIA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,QUIMBIULCO BEDON LORENA GABRIELA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CALLE ANDRADE MARIA AUGUSTA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CARRILLO BETTY,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CARRION MARIA JOSE,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CARVAJAL AGUIRRE MIGUEL ANGEL,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CASSINELLI CALI JUAN CARLOS,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CAYAMBE TIPAN FAUSTO HERIBERTO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CHAVEZ CANALES HOLGER EZEQUIEL,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CHICA AREVALO VINICIO VETHOWEN,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CORDOVA ENCALADA EDGAR EDUARDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CUESTA RIOS LIUBA ELISA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,DE LA CRUZ BERNARDO HERMAN ULISES,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI,1
