A1,A2,voto,valor
ABAD VELEZ RAUL,ACERO LANCHIMBA ESTHELA LILIANA,SI,1
ABAD VELEZ RAUL,AGUILAR PLACIDO ARMANDO,SI,1
ABAD VELEZ RAUL,HAGO CELI FRANCISCO WAIKING,SI,1
ABAD VELEZ RAUL,AGUIRRE HIDALGO DORA ANDELA,SI,1
ABAD VELEZ RAUL,ALBAN TORRES MARIANA DEL ROCIO,SI,1
ABAD VELEZ RAUL,ALCIVAR MERA FELIX ANDRES,SI,1
ABAD VELEZ RAUL,MUÑOZ VICUÑA MARIANGEL,SI,1
ABAD VELEZ RAUL,ANDINO REINOSO MAURO EDMUNDO,SI,1
ABAD VELEZ RAUL,VITERI LOPEZ CHRISTIAN HUMBERTO,SI,1
ABAD VELEZ RAUL,RIVAS ALAVA ELIANA LISSET,SI,1
ABAD VELEZ RAUL,ARREGUI RUEDA MARCIA CECILIA,SI,1
ABAD VELEZ RAUL,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ABAD VELEZ RAUL,BERGMANN REYNA CARLOS ALBERTO,SI,1
ABAD VELEZ RAUL,BORJA PEREZ GALO,SI,1
ABAD VELEZ RAUL,BUENDIA HERDOIZA MARIA SOLEDAD,SI,1
ABAD VELEZ RAUL,BUSTAMANTE PONCE FERNANDO XAVIER,SI,1
ABAD VELEZ RAUL,CALDERON SALTOS RICHARD OSWALDO,SI,1
ABAD VELEZ RAUL,CALLE ANDRADE MARIA AUGUSTA,SI,1
ABAD VELEZ RAUL,CARRILLO BETTY,SI,1
ABAD VELEZ RAUL,CARRION MARIA JOSE,SI,1
ABAD VELEZ RAUL,CARVAJAL AGUIRRE MIGUEL ANGEL,SI,1
ABAD VELEZ RAUL,CASSINELLI CALI JUAN CARLOS,SI,1
ABAD VELEZ RAUL,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
ABAD VELEZ RAUL,CHICA AREVALO VINICIO VETHOWEN,SI,1
ABAD VELEZ RAUL,CORDOVA ENCALADA EDGAR EDUARDO,SI,1
ABAD VELEZ RAUL,CUESTA RIOS LIUBA ELISA,SI,1
ABAD VELEZ RAUL,POZO CASTILLO RITA DEL CARMEN,SI,1
ABAD VELEZ RAUL,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI,1
ABAD VELEZ RAUL,PIÑAN CAJAS MARIA ALEGRIA,SI,1
ABAD VELEZ RAUL,FALCONI LOQUI EVELYN PAMELA,SI,1
ABAD VELEZ RAUL,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,SI,1
ABAD VELEZ RAUL,DE LA TORRE RAMIREZ PABLO ANTONIO,SI,1
ABAD VELEZ RAUL,LARREA VITERI LIDICE VANESSA,SI,1
ABAD VELEZ RAUL,CALAZACON AGUAVIL MARIA ALBERTINA,SI,1
ABAD VELEZ RAUL,MACAS JOSE LUIS,SI,1
ABAD VELEZ RAUL,GONZALEZ SERRANO MIRYAM CATARINA,SI,1
ABAD VELEZ RAUL,GUAMAN CASTRO ALEX FRANCISCO,SI,1
ABAD VELEZ RAUL,GUAMANGATE ANTE LUIS GILBERTO,SI,1
ABAD VELEZ RAUL,GUDIÑO MENA ZOBEIDA GUISELA,SI,1
ABAD VELEZ RAUL,TORRES PINEDA CLINTON ELIUD,SI,1
ABAD VELEZ RAUL,GUZMAN OCHOA LILIANA MAURA,SI,1
ABAD VELEZ RAUL,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,SI,1
ABAD VELEZ RAUL,MOSQUERA YANEZ ISABEL PIEDAD,SI,1
ABAD VELEZ RAUL,ALMAN COROZO MARIA DEL CARMEN,SI,1
ABAD VELEZ RAUL,CARRILLO CRESPO HUGO FERNANDO,SI,1
ABAD VELEZ RAUL,SILVA MALDONADO SOFIA IRENE,SI,1
ABAD VELEZ RAUL,ORTIZ GASPAR ESTHER FLAVIA,SI,1
ABAD VELEZ RAUL,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI,1
ABAD VELEZ RAUL,LARRIVA ALVARADO OSCAR OSWALDO,SI,1
ABAD VELEZ RAUL,LEDESMA ZAMORA OSCAR ALFONSO,SI,1
ABAD VELEZ RAUL,AGUIÑAGA VALLEJO PAOLA MARCELA,SI,1
ABAD VELEZ RAUL,MORENO CHIRIBOGA AMPARO DIANA,SI,1
ABAD VELEZ RAUL,MUÑOZ AVENDAÑO ROSA ELVIRA,SI,1
ABAD VELEZ RAUL,ALVARADO CARRION ROSANA,SI,1
ABAD VELEZ RAUL,OCLES PADILLA ALEXANDRA,SI,1
ABAD VELEZ RAUL,CAZA TIPANTA HUGO RENE,SI,1
ABAD VELEZ RAUL,BRITO MENDOZA MONICA CRISTINA,SI,1
ABAD VELEZ RAUL,PEÑA PACHECO XIMENA DEL ROCIO,SI,1
ABAD VELEZ RAUL,PEÑAFIEL MONTESDEOCA JUANA MARISOL,SI,1
ABAD VELEZ RAUL,PONCE LEON XIMENA MERCEDES,SI,1
ABAD VELEZ RAUL,PROAÑO CIFUENTES ROBERTH MAURICIO,SI,1
ABAD VELEZ RAUL,FARFAN APONTE RICHARD WILSON,SI,1
ABAD VELEZ RAUL,RIVERA LOPEZ JOSE GABRIEL,SI,1
ABAD VELEZ RAUL,RIVERO DOGUER ANGEL ARMANDO,SI,1
ABAD VELEZ RAUL,MEDINA MERA VICTOR CLEMENTE,SI,1
ABAD VELEZ RAUL,CASTILLO VIVANCO JOSE BOLIVAR,SI,1
ABAD VELEZ RAUL,RODRIGUEZ DELGADO MARIA VERONICA,SI,1
ABAD VELEZ RAUL,SALAZAR CEDEÑO GUADALUPE DOLORES,SI,1
ABAD VELEZ RAUL,YANDUN POZO CASTULO RENE,SI,1
ABAD VELEZ RAUL,ACACHO GONZALEZ PEPE LUIS,SI,1
ABAD VELEZ RAUL,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,SI,1
ABAD VELEZ RAUL,SERRRANO REYES NELSON ALCIDES,SI,1
ABAD VELEZ RAUL,SOLANO MORENO ALEX FABIAN,SI,1
ABAD VELEZ RAUL,LEDESMA ZAMORA DARWIN GERMAN,SI,1
ABAD VELEZ RAUL,FIERRO OVIEDO PACO,SI,1
ABAD VELEZ RAUL,YANZA MANUEL,SI,1
ABAD VELEZ RAUL,UMAGINGA GUAMAN CESAR,SI,1
ABAD VELEZ RAUL,TIBAN GUALA LOURDES LICENIA,SI,1
ABAD VELEZ RAUL,TERAN SARZOSA SEGUNDO FAUSTO,SI,1
ABAD VELEZ RAUL,MEJIA PLUAS NILDA CECIBEL,SI,1
ABAD VELEZ RAUL,VASCONEZ ARTEAGA ANNY MARLLELY,SI,1
ABAD VELEZ RAUL,VELA CAIZAPANTA ANGEL RAMIRO,SI,1
ABAD VELEZ RAUL,PACHECO ORDOÑEZ BAYRON EDUARDO,SI,1
ABAD VELEZ RAUL,GUTIERREZ BORBUA FAUSTO GILMAR,SI,1
ABAD VELEZ RAUL,VELA CHERONI MARIA SOLEDAD,SI,1
ABAD VELEZ RAUL,ARGUELLO TROYA BLANCA AZUCENA,SI,1
ABAD VELEZ RAUL,VELASCO ENRIQUEZ CARLOS ALBERTO,SI,1
ABAD VELEZ RAUL,VELEZ MARLENE MARGARITA,SI,1
ABAD VELEZ RAUL,VERDUGA CEDEÑO MARY,SI,1
ABAD VELEZ RAUL,JONIAUX BLUM ENRIQUE ALEJANDRO,SI,1
ABAD VELEZ RAUL,VILEMA FREIRE ANGEL RAMIRO,SI,1
ABAD VELEZ RAUL,POSSO SALGADO LUIS ANTONIO,SI,1
ABAD VELEZ RAUL,SOLORZANO SARRIA CESAR FAUSTO,SI,1
ABAD VELEZ RAUL,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,SI,1
ABAD VELEZ RAUL,PONCE RUBIO ELVIA AZUCENA,SI,1
ABAD VELEZ RAUL,COELLO JARAMILLO DIANA ANGELINA,SI,1
ABAD VELEZ RAUL,ZAMBRANO ARTEAGA JOSE RICARDO,SI,1
ABAD VELEZ RAUL,ZAMBRANO CABANILLA EDUARDO ALFONSO,SI,1
ABAD VELEZ RAUL,ZAMBRANO CASTRO NORALMA ELIZABETH,SI,1
ABAD VELEZ RAUL,OBANDO MORALES SANTA FELICITA,SI,1
ABAD VELEZ RAUL,SERRANO SEGURA GRACE MARISOL,SI,1
ABAD VELEZ RAUL,URIBE LOPEZ FANNY ESTHER,SI,1
ABAD VELEZ RAUL,TAPIA LOMBEYDA LUIS FERNANDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,AGUILAR PLACIDO ARMANDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,HAGO CELI FRANCISCO WAIKING,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,AGUIRRE HIDALGO DORA ANDELA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ALBAN TORRES MARIANA DEL ROCIO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ALCIVAR MERA FELIX ANDRES,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,MUÑOZ VICUÑA MARIANGEL,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ANDINO REINOSO MAURO EDMUNDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,VITERI LOPEZ CHRISTIAN HUMBERTO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,RIVAS ALAVA ELIANA LISSET,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,ARREGUI RUEDA MARCIA CECILIA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BERGMANN REYNA CARLOS ALBERTO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BORJA PEREZ GALO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BUENDIA HERDOIZA MARIA SOLEDAD,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,BUSTAMANTE PONCE FERNANDO XAVIER,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CALDERON SALTOS RICHARD OSWALDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CALLE ANDRADE MARIA AUGUSTA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CARRILLO BETTY,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CARRION MARIA JOSE,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CARVAJAL AGUIRRE MIGUEL ANGEL,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CASSINELLI CALI JUAN CARLOS,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CHICA AREVALO VINICIO VETHOWEN,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CORDOVA ENCALADA EDGAR EDUARDO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,CUESTA RIOS LIUBA ELISA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,POZO CASTILLO RITA DEL CARMEN,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,PIÑAN CAJAS MARIA ALEGRIA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,FALCONI LOQUI EVELYN PAMELA,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,MONTIEL ARREAGA ROSAISELA DE LAS MERCEDES,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,DE LA TORRE RAMIREZ PABLO ANTONIO,SI,1
ACERO LANCHIMBA ESTHELA LILIANA,LARREA VITERI LIDICE VANESSA,SI,1
