A1,A2,voto,valor
ARIAS RAMÍREZ ALBERTO JESÚS,ARTEAGA MUÑOZ KARINA CECILIA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CAMBALA MONTECE CARLOS ALBERTO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CARRIÓN CEVALLOS MARÍA JOSÉ,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,COROZO AYOVÍ JORGE WILBER,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CUESTA RÍOS LIUBA ELISA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,DOUMET CHEDRAUI MICHEL ANDRÉS,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,FLOR GIL BRENDA AZUCENA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,GARZÓN RICAURTE WILLIAM ANTONIO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,LITARDO CAICEDO CÉSAR ERNESTO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,COLAMARCO VERA PINUCCIA MAGALY,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,OCHOA MORANTE MANUEL ALFREDO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,ORELLANA ROMÁN ROSA GINA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,BUSTAMANTE GARCÍA JUAN FRANCISCO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,PEÑA PACHECO XIMENA DEL ROCÍO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,PLAZA CASTILLO LENIN,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,QUIÑONEZ OCAMPO JULIO CÉSAR,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,SALAZAR CEDEÑO GUADALUPE DOLORES,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,VELIN CORTÉS JUAN PABLO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,VERA RODRÍGUEZ CARLOS ALFREDO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,YAR ARAUJO JUAN CARLOS,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,ANDRADE MUÑOZ WILMA PIEDAD,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,ZAMBRANO ALCÍVAR MAGDA XIOMARA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,AUQUILLA ORTEGA RAÚL VICENTE,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,BURBANO MONTENEGRO FÉLIX FERNANDO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,ZAMBRANO CASTRO NORALMA ELIZABETH,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,AZUERO RODAS ELISEO ALEXIS,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CUCALÓN CAMACHO HENRY EDUARDO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,SERRANO VITERI MERCEDES MARITZA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CALLEJAS BARONA FERNANDO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CAMPOVERDE ROBLES EMILIO ABSALÓN,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CARRIÓN MORENO CÉSAR ATAULFO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,YANDÚN POZO CÁSTULO RENÉ,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,UGARTE HENRÍQUEZ JOSÉ FERNANDO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,KRONFLE KOZHAYA HENRY FABIÁN,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CASTANIER JARAMILLO XAVIER HOMERO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CELI SANTOS GUILLERMO ALEJANDRO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CRUZ PROAÑO LUDOVICO ISRAEL,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CRUZ VACA JEANNINE DEL CISNE,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CUESTA ORELLANA MARÍA DE LOURDES,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CADENA HUERTAS FRANCISCO JAVIER,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,nan,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,REYES HIDALGO CRISTINA EUGENIA,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,CURICHUMBI YUPANQUI PEDRO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,DONOSO CHIRIBOGA PATRICIO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,FLORES VÁSQUEZ FERNANDO PATRICIO,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,GALARZA AÑAZCO ANA MERCEDES,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,GENDE CALAZACÓN ANGEL MESÍAS,SI,1
ARIAS RAMÍREZ ALBERTO JESÚS,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,SI,1
