A1,A2,voto,valor
AGUIÑAGA VALLEJO PAOLA MARCELA,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CALLE VERZOZI HERMUY,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CÁRDENAS ESPINOZA JUAN JORGE,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CHALÁ CRUZ JOSÉ FRANKLIN,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,TORRES TORRES EURO IGNACIO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,DURÁN AGUILAR LILIANA ELIZABETH,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ALEAGA SANTOS RONNY XAVIER,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,GARCÍA GAIBOR CARMEN MERCEDES,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,GARCÍA POZO DIEGO OSWALDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,GUEVARA VILLACRÉS VERÓNICA MARGARITA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,HOLGUÍN NARANJO MARCELA PRISCILA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,LLORET VALDIVIESO JUAN CRISTÓBAL,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,MELO GARZÓN ESTEBAN ANDRÉS,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,PAREDES BENAVIDES LIDIA VICTORIA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,NARANJO ALVARADO PRISCILA AMAPOLA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,POMA HERRERA YOFRE MARTÍN,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,PROAÑO CIFUENTES ROBERTH MAURICIO,SI,9
AGUIÑAGA VALLEJO PAOLA MARCELA,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,RIVADENEIRA BUSTOS CARMEN MERCEDES,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SAMANIEGO MAIGUA FRANKLIN OMAR,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ALEMÁN MARMOL MÓNICA ROCÍO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SOLIZ CARRIÓN DORIS JOSEFINA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VALLE PINARGOTE BAIRON LEONARDO,SI,9
AGUIÑAGA VALLEJO PAOLA MARCELA,VILLALVA MIRANDA LIRA DE LA PAZ,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,VITERI GUALINGA CARLOS ELOY,SI,9
AGUIÑAGA VALLEJO PAOLA MARCELA,GUAMBA DÍAZ NANCY JEANNETH,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,LOOR ALCÍVAR LEXI LIDUVINA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ANDRADE MUÑOZ WILMA PIEDAD,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ALMEIDA ALARCÓN KAREM MICHELLE,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SARZOSA BENAVIDES JUAN CARLOS,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ASTUDILLO LOOR LINA GLORIA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BURBANO MONTENEGRO FÉLIX FERNANDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,AZUERO RODAS ELISEO ALEXIS,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CUCALÓN CAMACHO HENRY EDUARDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SERRANO VITERI MERCEDES MARITZA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CALLEJAS BARONA FERNANDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,GALLARDO CHEME CARLOS DAVID,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CAMPOVERDE ROBLES EMILIO ABSALÓN,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CARRIÓN MORENO CÉSAR ATAULFO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,YANDÚN POZO CÁSTULO RENÉ,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,HENRÍQUEZ JAIME PATRICIA IVONNE,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,OLLAGUE VALAREZO ZOILA PIEDAD,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CASTANIER JARAMILLO XAVIER HOMERO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CELI SANTOS GUILLERMO ALEJANDRO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CRUZ PROAÑO LUDOVICO ISRAEL,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CRUZ VACA JEANNINE DEL CISNE,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,MEDINA RAMÍREZ JOSÉ ALFREDO,SI,1
