A1,A2,voto,valor
ABAD VELEZ RAUL,LANDAZURI OLMEDO LUDIS CUAUDINA,SI,1
ABAD VELEZ RAUL,HAGO CELI FRANCISCO WAIKING,SI,3
ABAD VELEZ RAUL,ORTIZ LARA LEONARDO,SI,1
ABAD VELEZ RAUL,ALBAN TORRES MARIANA DEL ROCIO,SI,3
ABAD VELEZ RAUL,ANDINO REINOSO MAURO EDMUNDO,SI,3
ABAD VELEZ RAUL,ARCE PLUAS ALEXANDRA MANUELA,SI,1
ABAD VELEZ RAUL,RIVAS ALAVA ELIANA LISSET,SI,1
ABAD VELEZ RAUL,ARREGUI RUEDA MARCIA CECILIA,SI,1
ABAD VELEZ RAUL,MARQUEZ LOPEZ JOSE LENIN,SI,1
ABAD VELEZ RAUL,BERGMANN REYNA CARLOS ALBERTO,SI,3
ABAD VELEZ RAUL,BORJA PEREZ GALO,SI,3
ABAD VELEZ RAUL,BUENDIA HERDOIZA MARIA SOLEDAD,SI,3
ABAD VELEZ RAUL,BUSTAMANTE PONCE FERNANDO XAVIER,SI,3
ABAD VELEZ RAUL,CALDERON SALTOS RICHARD OSWALDO,SI,3
ABAD VELEZ RAUL,CALLE ANDRADE MARIA AUGUSTA,SI,3
ABAD VELEZ RAUL,TOALOMBO CHIMBORAZO JOSE SEGUNDO,SI,1
ABAD VELEZ RAUL,CARRION MARIA JOSE,SI,3
ABAD VELEZ RAUL,CAJAS LARA SUSANA VALERIA,SI,1
ABAD VELEZ RAUL,BRAVO RAMIREZ MARIA LORENA,SI,1
ABAD VELEZ RAUL,CAYAMBE TIPAN FAUSTO HERIBERTO,SI,3
ABAD VELEZ RAUL,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
ABAD VELEZ RAUL,CHICA AREVALO VINICIO VETHOWEN,SI,3
ABAD VELEZ RAUL,CORDOVA ENCALADA EDGAR EDUARDO,SI,3
ABAD VELEZ RAUL,MACIAS GARCIA PEDRO ROBERTO GEOVANNY,SI,1
ABAD VELEZ RAUL,DE LA CRUZ BERNARDO HERMAN ULISES,SI,1
ABAD VELEZ RAUL,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI,3
ABAD VELEZ RAUL,PIÑAN CAJAS MARIA ALEGRIA,SI,1
ABAD VELEZ RAUL,PALACIOS CESAR,SI,1
ABAD VELEZ RAUL,FALCONI LOQUI EVELYN PAMELA,SI,1
ABAD VELEZ RAUL,GAGLIARDO LOOR GASTON,SI,3
ABAD VELEZ RAUL,GALVAN GRACIA MARIA ESPERANZA,SI,1
ABAD VELEZ RAUL,GARZON RECAURTE WILLIAM ANTONIO,SI,1
ABAD VELEZ RAUL,GODOY ANDRADE GINA JAKELINE,SI,3
ABAD VELEZ RAUL,GUAMAN CASTRO ALEX FRANCISCO,SI,3
ABAD VELEZ RAUL,GUAMANGATE ANTE LUIS GILBERTO,SI,3
ABAD VELEZ RAUL,GUDIÑO MENA ZOBEIDA GUISELA,SI,3
